,Country,Deaths / million,Deaths,Cases
0,World[a],883,7043660,775251765
1,Peru,6485,220831,4524748
2,Bulgaria,5706,38700,1329171
3,Bosnia and Herzegovina,5068,16388,403627
4,Hungary,4920,49049,2230293
5,North Macedonia,4765,9977,350579
6,Slovenia,4740,10049,1355844
7,Croatia,4652,18751,1316785
8,Georgia,4575,17132,1862326
9,Montenegro,4232,2654,251280
10,Czech Republic,4145,43503,4758954
11,Latvia,4033,7465,977701
12,Slovakia,3760,21225,1877687
13,Greece,3754,38986,5628526
14,San Marino,3739,126,25292
15,Moldova,3736,12231,635389
16,Lithuania,3564,9802,1365783
17,United States,3500,1184148,103436829
18,Romania,3494,68708,3526339
19,Gibraltar,3458,113,20550
20,United Kingdom,3438,232112,24915266
21,Italy,3335,196910,26718988
22,Brazil,3260,702116,37519960
23,Chile,3192,62586,5397438
24,Armenia,3156,8777,451831
25,Poland,3028,120706,6662019
26,Martinique,3003,1104,230354
27,Belgium,2946,34339,4861011
28,Paraguay,2931,19880,735759
29,Argentina,2875,130845,10130118
30,Trinidad and Tobago,2867,4390,191496
31,European Union[b],2801,1260979,185619587
32,Russia,2781,402520,24078278
33,Ukraine,2768,109920,5532832
34,Colombia,2751,142727,6384575
35,Aruba,2742,292,44224
36,Portugal,2738,28128,5643119
37,Serbia,2627,18057,2583470
38,Mexico,2627,335011,7709747
39,France,2600,168090,38997490
40,Sweden,2583,27257,2751440
41,Guadeloupe,2579,1021,203235
42,Bermuda,2569,165,18860
43,Spain,2562,121852,13980340
44,Austria,2520,22534,6081287
45,Guam,2439,419,52287
46,Tunisia,2381,29423,1153361
47,Saint Lucia,2279,410,30251
48,Suriname,2273,1405,82496
49,Liechtenstein,2261,89,21575
50,Estonia,2260,2997,610294
51,Uruguay,2227,7625,1037893
52,French Polynesia,2122,650,79301
53,Barbados,2105,593,110580
54,Germany,2098,174979,38437756
55,Sint Maarten,2081,92,11051
56,Finland,2069,11466,1499712
57,Bahamas,2058,844,38084
58,British Virgin Islands,2042,64,7392
59,Ecuador,2001,36037,1074656
60,Lebanon,1994,10947,1239904
61,Andorra,1991,159,48015
62,Panama,1974,8703,1044303
63,Republic of Ireland,1905,9572,1735149
64,Grenada,1897,238,19693
65,Monaco,1836,67,17181
66,Bolivia,1831,22387,1212131
67,Puerto Rico,1825,5938,1252713
68,Montserrat,1812,8,1403
69,Costa Rica,1808,9368,1230653
70,Kosovo,1802,3212,274279
71,Hong Kong,1798,13466,2876106
72,South Africa,1712,102595,4072648
73,Belize,1697,688,71409
74,Malta,1697,905,121409
75,Iran,1657,146811,7627186
76,Denmark,1641,9653,3434777
77,Switzerland,1623,14188,4453191
78,Guyana,1608,1301,74099
79,Seychelles,1605,172,51831
80,Namibia,1599,4106,172399
81,Curaçao,1595,305,45883
82,Antigua and Barbuda,1556,146,9106
83,Luxembourg,1544,1000,391270
84,Cyprus,1525,1367,690547
85,Caribbean Netherlands,1515,41,11922
86,Jersey,1453,161,66391
87,Collectivity of Saint Martin,1445,46,12324
88,Canada,1409,54201,4786027
89,Isle of Man,1372,116,38008
90,French Guiana,1356,413,98041
91,Israel,1344,12707,4841558
92,United States Virgin Islands,1326,132,25389
93,Netherlands,1308,22986,8635896
94,Jamaica,1272,3597,156803
95,Albania,1268,3605,334863
96,Jordan,1251,14122,1746997
97,Saint Vincent and the Grenadines,1192,124,9674
98,Turkey,1188,101419,17004714
99,Eswatini,1187,1427,75191
100,Guatemala,1132,20202,1250338
101,Malaysia,1100,37348,5278406
102,Palestine,1087,5708,703228
103,New Caledonia,1082,314,80064
104,Honduras,1065,11114,472785
105,Botswana,1064,2801,330643
106,Guernsey,1057,67,35326
107,Norway,1054,5732,1507196
108,Bahrain,1043,1536,696614
109,Dominica,1017,74,16047
110,Oman,1011,4628,399449
111,Azerbaijan,999,10353,835272
112,Kazakhstan,983,19072,1503687
113,Saint Kitts and Nevis,964,46,6607
114,Australia,955,25020,11822999
115,Fiji,951,885,69047
116,Réunion,945,921,494595
117,Libya,944,6437,507269
118,Turks and Caicos Islands,874,40,6754
119,Northern Mariana Islands,827,41,14594
120,Mauritius,823,1070,327256
121,Wallis and Futuna,776,9,3760
122,Sri Lanka,774,16899,672754
123,American Samoa,767,34,8359
124,Cuba,760,8530,1115043
125,Anguilla,755,12,3904
126,New Zealand,755,3916,2573972
127,Belarus,746,7118,994037
128,Taiwan,739,17672,9970937
129,Cabo Verde,703,417,64474
130,South Korea,693,35934,34571873
131,Mongolia,672,2284,1011517
132,El Salvador,667,4230,201864
133,Maldives,603,316,186694
134,Japan,602,74694,33803572
135,Kuwait,602,2570,667185
136,Indonesia,588,162056,6828942
137,Philippines,578,66864,4140383
138,Mayotte,573,187,42027
139,Iraq,570,25375,2465545
140,Federated States of Micronesia,569,65,26547
141,Palau,552,10,6290
142,Cayman Islands,538,37,31472
143,Faroe Islands,527,28,34658
144,Iceland,498,186,209915
145,Thailand,482,34583,4770005
146,Saint Barthélemy,454,5,5507
147,Vietnam,440,43206,11624000
148,Morocco,435,16304,1279024
149,Marshall Islands,408,17,16178
150,Brunei,396,178,343770
151,Nepal,393,12031,1003450
152,Dominican Republic,390,4384,661181
153,India,376,533552,45034360
154,Greenland,371,21,11971
155,Myanmar,359,19494,641951
156,Singapore,359,2024,3006155
157,Sao Tome and Principe,351,80,6749
158,Zimbabwe,351,5740,266359
159,Saint Pierre and Miquelon,339,2,3426
160,Lesotho,307,709,36138
161,Solomon Islands,274,199,25954
162,Saudi Arabia,264,9646,841469
163,Qatar,256,690,514524
164,United Arab Emirates,248,2349,1067030
165,Egypt,223,24830,516023
166,Mauritania,210,997,63972
167,Venezuela,206,5856,552695
168,Zambia,203,4069,349558
169,Afghanistan,194,7985,232948
170,Comoros,191,160,9109
171,Kiribati,182,24,5085
172,Cambodia,182,3056,139100
173,Macau,174,121,3514
174,Bangladesh,172,29493,2049519
175,Djibouti,168,189,15690
176,Kyrgyzstan,154,1024,88953
177,Algeria,153,6881,272017
178,Syria,142,3163,57423
179,Samoa,139,31,17057
180,Gambia,137,372,12626
181,Malawi,131,2686,89168
182,Pakistan,129,30656,1580631
183,Gabon,128,307,49051
184,Cook Islands,117,2,7324
185,Senegal,113,1971,89058
186,Tonga,112,12,16958
187,Equatorial Guinea,109,183,17130
188,Sudan,107,5046,63993
189,Rwanda,106,1468,133220
190,Kenya,105,5689,344101
191,Timor-Leste,102,138,23460
192,Laos,89,671,218962
193,Tuvalu,88,1,2943
194,China[c],85,122121,99347448
195,Guinea-Bissau,84,177,9614
196,Nauru,78,1,5393
197,Somalia,77,1361,27334
198,Uganda,76,3632,172149
199,Haiti,74,860,34298
200,Cameroon,70,1974,125146
201,Mozambique,68,2252,233772
202,Papua New Guinea,66,670,46864
203,Republic of the Congo,65,389,25216
204,Yemen,64,2159,11945
205,Ethiopia,61,7574,501158
206,Liberia,55,294,7930
207,Angola,54,1937,107357
208,Madagascar,48,1426,68493
209,Ghana,43,1462,171875
210,Vanuatu,42,14,12019
211,Nicaragua,35,245,16137
212,Guinea,33,468,38572
213,Mali,32,743,33164
214,Togo,32,290,39528
215,Ivory Coast,29,835,88403
216,Uzbekistan,29,1016,175081
217,Eritrea,27,103,10189
218,Bhutan,26,21,62697
219,Central African Republic,20,113,15440
220,Burkina Faso,17,400,22120
221,Democratic Republic of the Congo,14,1468,99338
222,Sierra Leone,14,125,7794
223,Nigeria,14,3155,267188
224,South Sudan,13,147,18820
225,Tanzania,12,846,43223
226,Tajikistan,12,125,17786
227,Benin,12,163,28036
228,Niger,12,315,9515
229,Chad,10,194,7702
230,Burundi,1,15,54569
231,North Korea,0,6,1
232,Pitcairn Islands,—,—,4
233,Falkland Islands,—,—,1923
234,Niue,—,—,1059
235,Turkmenistan,—,0,0
236,Vatican City,—,0,26
237,Tokelau,—,0,80
238,"Saint Helena, Ascension and Tristan da Cunha",—,—,2166
239,"^ Countries which do not report data for a column are not included in that column's world total. ^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.","^ Countries which do not report data for a column are not included in that column's world total. ^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.","^ Countries which do not report data for a column are not included in that column's world total. ^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan.","^ Countries which do not report data for a column are not included in that column's world total. ^ Data on member states of the European Union are individually listed, but are also summed here for convenience. They are not double-counted in world totals. ^ Does not include special administrative regions (Hong Kong and Macau) or Taiwan."
